"id","clim_year","clim_month","clim_date","CMD","DD_0_","DD_18_","DD18_","DD5_","Eref","NFFD","PAS","ppt_mm","Rad","RH","tave","tmax","tmin"
"RSA695546",1901,1,190101,0,7,297,0,118,49,19,1,117,-9999,54,8.6,15.8,1.3
"RSA695546",1901,2,190102,0,4,209,0,155,59,23,0,112,-9999,59,10.4,17,3.8
"RSA695546",1901,3,190103,82,4,241,1,168,94,20,0,12,-9999,49,10.3,18.8,1.8
"RSA695546",1901,4,190104,91,1,198,2,200,124,21,0,33,-9999,44,11.7,21.2,2.2
"RSA695546",1901,5,190105,130,0,91,18,338,158,30,0,28,-9999,48,15.8,24.8,6.9
"RSA695546",1901,6,190106,205,0,31,64,420,206,29,0,0,-9999,35,19,31.5,6.5
"RSA695546",1901,7,190107,241,0,2,183,584,241,31,0,0,-9999,34,23.9,36.9,10.8
"RSA695546",1901,8,190108,213,0,3,170,570,213,31,0,0,-9999,36,23.4,35.9,10.9
"RSA695546",1901,9,190109,143,0,44,57,403,153,27,0,10,-9999,34,18.4,30.9,5.9
"RSA695546",1901,10,190110,106,0,64,30,378,111,29,0,5,-9999,41,17.2,28,6.4
"RSA695546",1901,11,190111,44,1,170,3,231,64,24,0,20,-9999,48,12.6,21.5,3.8
"RSA695546",1901,12,190112,49,8,298,0,114,53,10,0,4,-9999,40,8.3,18.3,-1.7
"RSA756110",1901,1,190101,0,7,296,0,119,43,24,1,64,-9999,65,8.6,14,3.2
"RSA756110",1901,2,190102,0,6,241,0,126,50,24,0,59,-9999,67,9.3,14.4,4.1
"RSA756110",1901,3,190103,75,4,253,0,156,84,24,0,9,-9999,57,9.9,16.7,3.1
"RSA756110",1901,4,190104,85,1,195,2,203,109,26,0,24,-9999,55,11.8,19.1,4.5
"RSA756110",1901,5,190105,111,0,89,18,340,137,31,0,26,-9999,60,15.9,22.6,9.3
"RSA756110",1901,6,190106,183,0,26,72,433,184,30,0,1,-9999,46,19.5,29.2,9.7
"RSA756110",1901,7,190107,215,0,2,198,599,215,31,0,0,-9999,46,24.4,34.5,14.3
"RSA756110",1901,8,190108,185,0,2,206,606,186,31,0,1,-9999,51,24.6,33.6,15.7
"RSA756110",1901,9,190109,118,0,29,81,442,132,30,0,14,-9999,51,19.8,28.3,11.2
"RSA756110",1901,10,190110,76,0,52,40,401,94,31,0,18,-9999,57,18,25.3,10.6
"RSA756110",1901,11,190111,43,1,169,3,232,54,28,0,11,-9999,62,12.7,18.8,6.6
"RSA756110",1901,12,190112,45,6,278,1,132,48,18,0,3,-9999,52,9,16.7,1.2
"SBBG116541",1901,1,190101,0,12,345,0,78,45,17,1,53,-9999,59,7,13.3,0.7
"SBBG116541",1901,2,190102,0,11,313,0,65,52,14,1,53,-9999,59,6.7,13,0.3
"SBBG116541",1901,3,190103,84,7,306,0,106,89,14,0,5,-9999,47,8.2,16.7,-0.4
"SBBG116541",1901,4,190104,79,2,250,1,145,111,18,0,32,-9999,48,9.7,18.3,1.1
"SBBG116541",1901,5,190105,121,0,160,6,260,143,27,0,22,-9999,50,13.3,21.7,4.8
"SBBG116541",1901,6,190106,192,0,52,38,375,192,28,0,1,-9999,37,17.5,29.2,5.8
"SBBG116541",1901,7,190107,218,0,6,123,522,218,31,0,0,-9999,39,21.8,33.5,10.2
"SBBG116541",1901,8,190108,205,0,6,138,539,206,31,0,1,-9999,37,22.4,34.5,10.3
"SBBG116541",1901,9,190109,122,0,56,44,378,139,28,0,17,-9999,42,17.6,28.1,7.1
